Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	function	pronoun	ppron	i	we	you	shehe	they	ipron	article	prep	auxverb	adverb	conj	negate	verb	adj	compare	interrog	number	quant	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	cogproc	insight	cause	discrep	tentat	certain	differ	percept	see	hear	feel	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk	focuspast	focuspresent	focusfuture	relativ	motion	space	time	work	leisure	home	money	relig	death	informal	swear	netspeak	assent	nonflu	filler	AllPunc	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP
289.txt	1	2146	13.09	23.93	89.90	74.38	715.33	11.46	90.82	59.04	21.71	13.89	10.62	1.44	1.40	0.14	0.28	7.83	4.05	11.93	11.32	8.95	8.76	1.44	22.60	2.94	1.68	1.26	2.00	1.91	4.43	3.49	0.89	0.23	0.23	0.23	5.87	0.28	0.65	0.56	0.37	12.40	1.26	2.56	1.72	3.08	0.93	3.68	2.61	1.86	0.33	0.28	2.52	0.65	0.51	0.00	1.21	6.38	2.33	1.16	1.35	1.91	0.09	3.31	16.92	3.36	14.96	2.98	6.20	5.82	1.12	1.86	0.56	0.14	0.09	0.05	3.26	0.05	1.58	0.84	0.61	0.09	7.50	0.19	0.00	0.33	0.00	0.00	0.00	0.33	0.00	6.66	0.00	0.00
262.txt	1	2241	16.82	43.26	77.46	90.53	2241.00	11.87	90.72	57.88	20.12	11.87	7.63	1.12	2.28	0.22	0.62	8.26	5.35	10.26	11.11	8.43	8.57	1.34	20.21	5.76	2.72	1.56	1.52	2.72	5.44	4.69	0.76	0.04	0.09	0.09	6.87	0.00	0.04	0.04	0.36	11.74	2.50	1.38	1.29	2.72	1.87	2.95	4.15	2.05	0.36	1.52	2.90	1.12	0.36	0.00	1.34	6.07	1.83	0.71	1.52	2.01	0.31	4.11	14.50	1.92	13.97	2.68	5.31	6.29	0.80	1.38	0.22	0.18	0.13	0.09	2.05	0.04	0.04	1.20	0.71	0.00	5.18	0.00	0.00	0.04	0.00	0.00	0.00	0.31	0.00	4.77	0.00	0.04
276.txt	1	3196	14.83	43.03	61.47	96.67	3196.00	9.11	91.52	60.36	22.56	10.76	6.66	1.47	1.60	0.31	0.72	11.80	4.79	11.83	11.20	8.82	8.26	0.88	20.21	5.44	4.41	1.10	2.16	2.88	5.76	5.35	0.38	0.06	0.06	0.13	6.48	0.09	0.22	0.28	0.28	10.73	1.72	0.94	1.28	2.32	1.47	3.69	3.07	2.13	0.25	0.34	1.78	0.28	0.19	0.03	0.56	6.82	2.53	0.69	1.56	2.28	0.06	4.51	13.55	2.57	12.27	2.28	6.51	3.69	0.28	0.66	1.72	1.19	0.63	0.00	3.38	0.06	1.03	0.97	1.44	0.00	5.26	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00	4.79	0.00	0.34
29.txt	1	1622	19.84	87.42	71.54	96.03	1622.00	10.36	92.11	58.08	20.22	14.80	5.36	4.50	2.96	1.23	0.74	5.43	5.12	11.16	9.43	8.75	8.94	1.29	21.15	4.69	2.47	1.42	0.99	1.42	6.41	5.61	0.80	0.06	0.25	0.18	14.30	0.25	0.25	1.60	0.37	11.90	2.34	1.66	1.85	1.85	1.60	3.58	4.75	2.90	1.23	0.55	2.22	0.68	0.31	0.00	0.62	10.67	6.17	1.05	2.34	1.60	0.31	2.96	15.97	2.77	16.21	2.96	8.32	5.24	0.74	2.03	0.80	0.06	0.31	0.00	2.16	0.06	0.31	1.29	0.49	0.00	4.75	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	4.56	0.00	0.00
15.txt	1	1399	44.28	81.03	78.84	93.23	1399.00	12.65	88.56	52.47	16.65	10.86	3.86	4.29	2.43	0.21	0.07	5.79	5.58	12.44	8.93	7.22	6.58	1.14	20.80	4.72	2.14	1.64	1.57	2.86	5.93	5.08	0.79	0.07	0.43	0.07	10.15	0.14	1.07	0.21	0.71	11.08	2.00	1.36	1.14	2.86	2.00	2.93	3.22	2.07	0.50	0.64	1.07	0.43	0.00	0.00	0.50	9.79	5.15	0.79	2.14	2.14	0.07	3.72	14.58	2.79	18.37	4.93	8.58	5.36	1.00	1.29	0.64	0.36	0.07	0.00	4.43	0.14	0.50	2.50	1.14	0.07	5.93	0.00	0.14	0.07	0.00	0.00	0.00	0.29	0.00	5.36	0.00	0.07
114.txt	1	3751	10.28	52.99	82.15	78.13	937.75	10.18	92.03	60.68	22.18	13.94	7.36	1.60	3.31	1.04	0.64	8.24	4.61	10.80	12.80	8.32	8.05	2.29	23.38	3.71	3.36	1.81	1.89	2.19	4.83	3.84	0.99	0.08	0.13	0.32	9.76	0.27	0.21	0.37	1.09	12.13	2.35	1.57	1.52	2.35	1.49	4.13	3.23	1.55	0.91	0.67	1.60	0.83	0.13	0.00	0.51	6.29	2.45	0.67	1.31	2.16	0.19	5.36	15.92	2.13	15.25	2.80	6.11	6.82	0.61	1.95	0.43	0.59	0.27	0.08	3.01	0.13	0.69	1.07	1.09	0.11	7.14	0.16	0.00	0.13	0.00	0.00	0.00	0.19	0.00	6.64	0.00	0.03
100.txt	1	1162	23.27	81.92	66.64	90.07	387.33	11.02	93.37	59.98	17.90	10.93	3.61	3.10	2.15	1.29	0.77	6.97	5.85	12.39	12.31	8.86	8.43	1.46	21.00	3.87	2.50	2.24	2.58	1.89	5.68	4.73	0.86	0.43	0.26	0.09	11.62	0.60	0.17	0.34	2.24	9.72	2.15	1.55	1.20	1.64	1.64	2.58	2.58	0.77	0.60	1.03	2.58	0.77	0.60	0.09	1.12	8.52	3.87	0.86	2.32	1.81	0.09	4.65	16.01	2.41	17.73	3.27	8.43	6.54	0.43	2.07	1.20	0.09	0.26	0.00	2.93	0.09	0.26	1.55	1.12	0.00	5.51	0.34	0.00	0.43	0.00	0.00	0.00	0.00	0.00	4.73	0.00	0.00
128.txt	1	1608	28.43	62.91	81.17	81.72	1608.00	10.95	90.67	58.15	17.29	10.45	4.91	2.92	1.74	0.12	0.75	6.84	6.16	12.94	11.19	9.14	9.02	0.93	23.76	4.29	2.80	1.12	1.18	2.74	4.85	3.98	0.87	0.00	0.12	0.19	7.71	0.00	0.37	0.25	0.19	11.63	1.24	2.74	1.37	2.36	1.43	3.17	2.92	1.37	0.31	1.00	1.00	0.25	0.06	0.00	0.62	8.77	3.79	0.93	1.93	2.18	0.31	4.85	15.67	3.11	18.47	4.98	7.28	7.03	1.68	1.18	0.19	0.19	0.06	0.06	2.74	0.06	1.74	0.68	0.19	0.06	6.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.09	0.00	0.00
316.txt	1	7710	25.51	56.65	78.94	91.81	2570.00	10.57	90.29	58.04	18.55	11.96	6.77	2.39	1.84	0.38	0.58	6.59	6.24	11.89	10.89	8.56	8.48	1.36	20.66	4.22	2.28	1.54	1.32	2.23	5.56	4.81	0.73	0.09	0.16	0.16	8.79	0.27	0.44	0.48	0.56	9.71	1.61	1.34	0.82	2.35	1.22	3.14	3.02	1.53	0.66	0.52	2.46	0.58	0.23	0.04	1.52	7.90	3.58	0.78	1.75	1.87	0.22	3.45	14.44	2.78	15.50	3.74	7.07	5.10	0.97	1.76	0.48	0.47	0.19	0.05	2.70	0.08	0.35	1.26	0.99	0.04	5.90	0.05	0.01	0.08	0.00	0.00	0.00	0.25	0.00	5.47	0.00	0.04
302.txt	1	3306	21.18	68.35	78.24	83.36	1102.00	12.10	90.96	57.86	19.33	12.52	5.66	2.00	3.21	0.97	0.70	6.78	5.75	11.16	11.04	8.08	8.20	1.97	20.63	3.39	1.72	1.42	1.27	2.66	5.20	4.20	0.97	0.21	0.30	0.18	11.40	0.27	0.57	0.57	0.85	11.13	1.66	1.12	0.85	2.78	1.54	4.11	2.87	1.85	0.42	0.45	1.81	0.85	0.24	0.09	0.64	8.08	3.87	0.73	1.57	1.94	0.24	3.60	14.88	2.57	16.06	3.54	7.65	5.23	1.24	1.91	0.57	0.42	0.06	0.12	2.93	0.09	0.36	1.42	0.67	0.12	5.93	0.12	0.00	0.03	0.00	0.00	0.00	0.18	0.00	5.60	0.00	0.00
303.txt	1	4470	13.52	32.97	82.47	82.60	2235.00	11.21	90.29	58.21	21.99	12.95	8.77	1.14	1.59	0.58	0.87	9.02	4.41	10.92	10.34	8.46	8.70	1.77	21.43	5.03	2.84	1.50	1.16	2.10	4.74	3.96	0.78	0.09	0.16	0.18	7.79	1.19	0.47	0.81	1.01	12.10	1.97	1.45	1.50	2.42	1.50	4.32	3.89	2.39	0.47	0.65	3.80	1.66	0.51	0.07	1.34	6.15	2.24	0.85	1.57	1.68	0.16	3.60	14.85	2.48	13.62	2.84	5.53	5.53	0.36	1.01	0.74	0.72	0.18	0.09	2.08	0.07	0.45	0.78	0.83	0.02	6.80	0.04	0.00	0.04	0.00	0.00	0.00	0.29	0.00	6.42	0.00	0.00
317.txt	1	3985	23.17	52.51	62.03	72.31	1328.33	11.09	91.27	58.07	20.90	12.90	7.48	0.75	2.66	1.48	0.53	7.98	5.35	11.97	11.27	6.20	7.58	2.13	21.38	3.59	2.61	1.71	1.96	1.73	4.12	3.29	0.80	0.05	0.33	0.13	10.39	1.05	0.48	1.08	1.71	10.77	1.66	1.68	1.81	2.53	1.33	3.41	3.59	2.21	0.70	0.48	3.56	0.43	0.38	0.13	2.61	7.30	2.41	1.23	1.78	2.58	0.10	4.17	15.33	2.21	13.58	2.48	6.12	5.19	1.71	2.48	0.63	0.45	0.03	0.00	2.63	0.15	0.75	0.88	0.70	0.10	6.02	0.10	0.00	0.05	0.00	0.00	0.00	0.18	0.00	5.67	0.00	0.03
129.txt	1	3036	6.90	16.06	90.46	67.48	3036.00	9.75	92.75	62.85	21.97	12.94	9.88	0.86	1.12	0.23	0.86	8.99	3.66	12.81	12.71	10.87	9.75	2.44	23.29	3.75	5.47	1.45	1.35	2.67	4.41	3.29	1.09	0.00	0.33	0.26	5.07	0.33	0.10	0.26	0.20	13.01	2.24	1.58	1.35	3.00	1.19	4.64	3.43	2.17	0.23	0.86	2.47	1.45	0.13	0.03	0.76	5.37	1.35	0.92	1.25	2.04	0.13	3.49	16.96	2.17	13.67	3.06	6.69	4.08	0.30	0.53	0.72	0.13	0.10	0.00	3.00	0.00	0.92	1.02	0.96	0.00	8.27	0.00	0.00	0.00	0.00	0.00	0.00	0.30	0.00	7.91	0.00	0.07
101.txt	1	2292	26.23	55.20	78.75	97.38	2292.00	10.34	91.32	59.03	19.11	11.13	5.58	1.88	2.27	0.31	1.09	7.98	5.72	12.96	9.77	8.77	8.86	1.57	18.98	4.84	3.23	1.00	1.48	2.23	5.98	5.58	0.39	0.04	0.04	0.09	8.29	0.04	0.13	0.09	0.39	12.22	1.66	1.35	1.27	2.84	2.23	3.97	3.05	2.01	0.48	0.57	2.62	1.44	0.09	0.13	0.65	7.37	2.66	0.57	1.48	2.84	0.04	3.01	14.49	1.75	16.14	2.88	7.94	5.67	0.79	1.40	0.39	0.79	0.04	0.00	1.96	0.00	0.61	0.65	0.65	0.04	6.06	0.00	0.00	0.09	0.00	0.00	0.00	0.22	0.00	5.76	0.00	0.00
